id,longitude,latitude,eating,nature,community,walking,sightseeing,avg_comfort_score,avg_comfort_eating,avg_comfort_nature,avg_comfort_community,avg_comfort_walking,avg_comfort_sightseeing
765,103.775,1.33,1,0,3,1,2,0.6094091,0.65209454,0.0,0.53496593,0.528717,0.6144943
766,103.775,1.335,5,0,1,3,3,0.6252137,0.6337184,0.0,0.0,0.5731244,0.6102594
767,103.775,1.34,8,0,0,4,1,0.57881373,0.5458712,0.0,0.0,0.4890645,0.6263289
768,103.775,1.345,1,8,0,4,5,0.6985201,0.6098402,0.7482664,0.0,0.592816,0.73157203
769,103.775,1.35,1,7,0,11,9,0.6224075,0.7166674,0.63405615,0.0,0.6374541,0.5693278
770,103.775,1.355,4,16,1,6,2,0.636745,0.5641954,0.64085615,0.0,0.6578236,0.7290214
771,103.775,1.36,14,29,0,6,2,0.6090082,0.5716597,0.6195895,0.0,0.67840093,0.50005966
772,103.775,1.365,2,7,1,2,3,0.60994923,0.5652149,0.6067098,0.7154652,0.64087415,0.5564202
773,103.775,1.37,0,30,0,4,3,0.65498364,0.0,0.6436968,0.0,0.6736019,0.67022514
774,103.775,1.375,4,1,9,2,2,0.59808517,0.5287934,0.4705327,0.6369792,0.5527247,0.6269144
775,103.775,1.38,5,4,1,2,2,0.5794053,0.62768483,0.45079976,0.7934372,0.5822291,0.526506
776,103.775,1.385,5,5,4,8,7,0.59439075,0.56284374,0.6485049,0.51278675,0.60425377,0.6067193
777,103.775,1.39,1,3,1,2,8,0.52045494,0.52028304,0.4678351,0.6676769,0.55538607,0.4860227
778,103.775,1.395,1,6,1,0,4,0.557998,0.61096907,0.5523465,0.42988423,0.0,0.57144314
779,103.775,1.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
780,103.775,1.405,1,1,0,0,0,0.5453114,0.48452595,0.53389853,0.0,0.0,0.0
781,103.775,1.41,1,29,6,9,5,0.5802823,0.6137561,0.58127177,0.66260266,0.5082792,0.64017814
782,103.775,1.415,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
783,103.775,1.42,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
784,103.775,1.425,0,0,3,0,1,0.5891872,0.0,0.0,0.57573414,0.0,0.54475427
785,103.775,1.43,1,2,3,1,3,0.6199828,0.561502,0.632372,0.620331,0.6783648,0.5938589
786,103.775,1.435,5,1,9,6,4,0.5974434,0.61677015,0.68170637,0.5441415,0.5910967,0.6380434
787,103.775,1.44,12,2,9,8,3,0.610624,0.62296796,0.5263524,0.62380725,0.48374206,0.58651227
788,103.775,1.445,6,2,4,1,20,0.60057056,0.6059035,0.7562574,0.58557457,0.7687676,0.57177866
789,103.775,1.45,0,1,0,3,9,0.6425814,0.0,0.42553332,0.0,0.6906724,0.63378465
790,103.78,1.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
791,103.78,1.28,4,2,0,1,6,0.54401654,0.59013677,0.32488835,0.0,0.0,0.57866395
792,103.78,1.285,4,6,1,3,1,0.62269926,0.6049806,0.6305343,0.57700104,0.6500859,0.6011982
793,103.78,1.29,9,4,4,4,6,0.60776126,0.62084717,0.62443453,0.58015877,0.61402494,0.5203814
794,103.78,1.295,1,1,6,7,0,0.5971241,0.62006426,0.7986631,0.5857591,0.5867594,0.0
795,103.78,1.3,8,4,1,4,10,0.6322216,0.6271564,0.6019176,0.74598205,0.6186382,0.60264915
796,103.78,1.305,1,1,2,2,4,0.5748259,0.58373773,0.58373773,0.590917,0.629502,0.537917
797,103.78,1.31,2,1,4,5,3,0.68443185,0.60962576,0.0,0.61480474,0.6916629,0.8456567
798,103.78,1.315,19,2,4,5,5,0.5787171,0.598126,0.55423886,0.65332353,0.5131965,0.5517047
799,103.78,1.32,16,0,5,4,0,0.5926843,0.64246404,0.0,0.62347394,0.53396064,0.0
800,103.78,1.325,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
801,103.78,1.33,6,14,1,3,10,0.59028673,0.61648864,0.5511479,0.4875782,0.64664185,0.64644766
802,103.78,1.335,1,18,1,6,18,0.5864255,0.6559493,0.5383576,0.66699725,0.6613467,0.60937583
803,103.78,1.34,0,4,0,5,1,0.59046775,0.0,0.6634292,0.0,0.57018983,0.47459072
804,103.78,1.345,4,1,5,4,0,0.6513538,0.6010431,0.47831768,0.7564344,0.6878283,0.0
805,103.78,1.35,3,12,1,1,5,0.62208205,0.5634654,0.61141485,0.0,0.7298093,0.66791964
806,103.78,1.355,0,1,0,3,0,0.53499043,0.0,0.69379914,0.0,0.48205414,0.0
807,103.78,1.36,1,6,0,1,2,0.57352686,0.43076482,0.6213803,0.0,0.53982186,0.5421268
808,103.78,1.365,0,4,0,0,0,0.6691583,0.0,0.6124307,0.0,0.0,0.0
809,103.78,1.37,2,20,0,2,4,0.58057225,0.566305,0.5628217,0.0,0.50038785,0.6965051
810,103.78,1.375,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
811,103.78,1.38,0,18,1,9,1,0.58493274,0.0,0.6002663,0.34948823,0.58697504,0.51204824
812,103.78,1.385,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
813,103.78,1.39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
814,103.78,1.395,1,1,1,5,3,0.56427807,0.64081454,0.44584134,0.52485085,0.59218735,0.5594503
815,103.78,1.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
816,103.78,1.405,7,7,1,4,1,0.59428847,0.59733963,0.5813745,0.7258596,0.6341726,0.63286275
817,103.78,1.41,0,0,0,1,0,0.7007995,0.0,0.0,0.0,0.7007995,0.0
818,103.78,1.415,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
819,103.78,1.42,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
820,103.78,1.425,10,1,13,3,3,0.5598481,0.52615374,0.29979828,0.5522857,0.48706228,0.6041351
821,103.78,1.43,0,4,2,2,3,0.6014529,0.0,0.60205555,0.75573045,0.68239444,0.4843121
822,103.78,1.435,6,1,7,2,4,0.6042344,0.6812454,0.49345925,0.5922052,0.7503676,0.6017015
823,103.78,1.44,7,1,4,1,1,0.62151545,0.6600052,0.7720193,0.5332636,0.6790303,0.59692377
824,103.78,1.445,3,13,0,10,8,0.5932992,0.59497994,0.60664344,0.0,0.6799262,0.5061544
825,103.78,1.45,0,0,1,7,15,0.61132705,0.0,0.0,0.5602249,0.56808907,0.6406228
826,103.785,1.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
827,103.785,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
828,103.785,1.27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
829,103.785,1.275,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
830,103.785,1.28,3,2,3,8,3,0.5571055,0.55419874,0.53074574,0.5500251,0.59912694,0.5566306
831,103.785,1.285,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
832,103.785,1.29,12,3,2,4,0,0.62236637,0.64018846,0.721568,0.61629426,0.5194463,0.0
833,103.785,1.295,9,0,10,0,0,0.53337216,0.55734706,0.0,0.5534099,0.0,0.0
834,103.785,1.3,5,1,5,3,1,0.626467,0.63972867,0.7082617,0.5554114,0.69715816,0.64906305
835,103.785,1.305,3,1,4,2,1,0.61249274,0.60934275,0.6927128,0.57328516,0.61193717,0.60770345
836,103.785,1.31,13,2,0,2,1,0.5814619,0.58677506,0.5534355,0.0,0.46837783,0.566844
837,103.785,1.315,9,2,5,10,6,0.6162032,0.67290235,0.51436317,0.7126652,0.58469164,0.5616706
838,103.785,1.32,1,5,0,7,2,0.5779759,0.7631777,0.5174013,0.0,0.55153805,0.64452684
839,103.785,1.325,0,10,1,3,6,0.5834636,0.0,0.5610041,0.5882904,0.57976335,0.59914404
840,103.785,1.33,2,12,0,4,15,0.61268383,0.6553731,0.64012045,0.0,0.54599935,0.5848585
841,103.785,1.335,9,2,10,1,4,0.61386824,0.65012085,0.54634756,0.5884243,0.6229159,0.63472426
842,103.785,1.34,4,3,5,2,0,0.5547405,0.57200915,0.37990066,0.57757187,0.5097095,0.0
843,103.785,1.345,1,6,5,4,4,0.6358894,0.6804125,0.6054496,0.7129563,0.6340753,0.67850304
844,103.785,1.35,1,14,1,0,7,0.59767824,0.6719838,0.54566795,0.6468146,0.0,0.6638048
845,103.785,1.355,0,0,2,2,1,0.5757471,0.0,0.0,0.4971921,0.66969675,0.5413006
846,103.785,1.36,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
847,103.785,1.365,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
848,103.785,1.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
849,103.785,1.375,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
850,103.785,1.38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
851,103.785,1.385,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
852,103.785,1.39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
853,103.785,1.395,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
854,103.785,1.4,0,14,1,6,4,0.60986686,0.0,0.59322035,0.6634616,0.63376766,0.6274185
855,103.785,1.405,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
856,103.785,1.41,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
