embedding_index,grid_id,cluster,activity,has_text,comfort_anchor_similarity,discomfort_anchor_similarity,comfort_raw_score,comfort_score
6773,558,5,community,True,0.030844472,0.025516372,0.0053281,0.5404848
6774,558,1,community,True,0.030728785,-0.03064201,0.061370797,0.70280546
6775,558,1,community,True,0.025960276,-0.056917347,0.08287762,0.7650973
6776,558,5,community,True,0.061535027,0.01855547,0.042979557,0.6495375
6777,558,2,walking,True,0.049652614,0.029054873,0.020597741,0.5847114
6778,558,0,eating,True,0.07782018,0.037527997,0.040292185,0.6417539
6779,558,3,nature,True,0.010238305,-0.028429134,0.03866744,0.637048
6780,558,1,community,True,0.10343529,0.09704977,0.00638552,0.54354745
6781,558,6,eating,True,0.1046041,0.08440198,0.020202123,0.58356553
6782,558,1,community,True,0.09542577,0.1040038,-0.008578032,0.50020736
6783,558,4,,True,0.18503383,0.20524742,-0.02021359,0.46650645
6784,558,1,community,True,0.043215103,0.018617028,0.024598075,0.59629786
6785,558,1,community,True,0.0967271,0.075507596,0.021219507,0.58651227
6786,558,5,community,True,-0.0024366882,-0.032509945,0.030073257,0.61215603
6787,558,6,eating,True,0.04588643,0.0149900755,0.030896354,0.61454004
6788,558,5,community,True,0.07083939,0.086995736,-0.016156346,0.47825775
6789,558,5,community,True,0.033028387,0.028301502,0.004726885,0.53874344
6790,558,0,eating,True,0.041598547,-0.016252052,0.0578506,0.69260967
6791,558,0,eating,True,0.14786404,0.11838414,0.029479906,0.61043745
6792,558,3,nature,True,0.062015012,0.08848036,-0.026465349,0.44839898
6793,558,0,eating,True,0.00038261525,0.025991276,-0.02560866,0.4508803
6794,558,2,walking,False,,,,
6795,558,5,community,True,0.032860212,0.011104403,0.021755809,0.58806556
6796,558,6,eating,True,0.14094639,0.06278159,0.0781648,0.75144726
6797,558,1,community,True,0.114902556,0.0014740783,0.11342848,0.85358405
6798,558,1,community,True,0.16396207,0.21105672,-0.047094658,0.38864878
6799,558,7,sightseeing,True,0.1441907,0.1454067,-0.0012159944,0.5215306
6800,558,1,community,True,0.02543737,-0.0037715659,0.029208936,0.6096526
6801,558,6,eating,True,0.08098056,-0.0021507614,0.08313132,0.76583207
6802,559,5,community,True,0.13682824,0.1017103,0.035117947,0.62676734
6803,559,4,,True,0.04327765,0.053983577,-0.0107059255,0.4940442
6804,559,5,community,True,0.024196133,-0.04461176,0.06880789,0.7243461
6805,559,5,community,True,-0.012968058,0.021559961,-0.034528017,0.42504647
6806,559,5,community,True,0.08028617,0.033882756,0.04640341,0.6594543
6807,559,6,eating,True,0.22528964,0.25500128,-0.029711634,0.43899652
6808,559,5,community,True,0.027222712,0.088730834,-0.061508123,0.34690198
6809,559,5,community,True,0.0967271,0.075507596,0.021219507,0.58651227
6810,559,0,eating,True,0.11571095,0.0636575,0.05205345,0.6758189
6811,559,1,community,True,0.053693116,0.058264665,-0.0045715496,0.5118116
6812,559,1,community,True,0.09672707,0.075507596,0.021219477,0.58651215
6813,559,1,community,True,0.03240069,0.054003417,-0.021602727,0.462483
6814,559,5,community,True,-0.0015267686,0.0065358914,-0.00806266,0.5017001
6815,559,5,community,True,0.053830378,0.07140562,-0.017575242,0.4741481
6816,559,0,eating,True,0.01236309,-0.008049082,0.020412173,0.5841739
6817,559,5,community,True,0.026581727,0.028788045,-0.002206318,0.5186622
6818,559,6,eating,True,0.06701804,0.04513126,0.02188678,0.58844495
6819,559,2,walking,True,0.031427387,0.018990062,0.012437325,0.56107575
